epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2298,1.14461,1.83891,1.64629,0.73423,0.74718,0.77925,0.39077,1.34921,2.09106,1.83543,0.000659004,0.000659004,0.000659004
2,108.762,1.10884,1.4142,1.60362,0.66942,0.78549,0.7457,0.36455,1.52775,1.45903,2.05093,0.00131911,0.00131911,0.00131911
3,160.415,1.10398,1.27595,1.58977,0.6907,0.75801,0.76672,0.35693,1.71251,1.62102,2.1307,0.00197261,0.00197261,0.00197261
4,213.188,1.11354,1.21042,1.58725,0.7461,0.81851,0.7991,0.42777,1.49122,1.25201,1.88667,0.0019703,0.0019703,0.0019703
5,266.084,1.07083,1.17476,1.56378,0.7651,0.81495,0.81608,0.45139,1.32679,1.02297,1.69866,0.0019604,0.0019604,0.0019604
6,317.666,1.00311,1.10073,1.51212,0.76099,0.81581,0.83862,0.4623,1.46971,1.20153,1.89797,0.0019505,0.0019505,0.0019505
7,370.435,1.0062,1.08066,1.50698,0.85135,0.79485,0.85635,0.47793,1.38968,1.08456,1.76204,0.0019406,0.0019406,0.0019406
8,421.926,0.98975,1.04726,1.47873,0.88608,0.8858,0.91185,0.54347,1.33538,0.95423,1.64275,0.0019307,0.0019307,0.0019307
9,473.489,0.92746,0.97048,1.45241,0.86653,0.83177,0.87391,0.5209,1.25521,0.93121,1.58,0.0019208,0.0019208,0.0019208
10,524.76,0.94439,0.98007,1.45032,0.85422,0.88256,0.86515,0.52236,1.25946,0.90309,1.58523,0.0019109,0.0019109,0.0019109
11,575.21,0.91893,0.95696,1.43726,0.88474,0.8741,0.91557,0.56089,1.31313,0.85722,1.59471,0.001901,0.001901,0.001901
12,632.274,0.89964,0.92696,1.42236,0.89139,0.88256,0.896,0.54668,1.3031,0.85119,1.62311,0.0018911,0.0018911,0.0018911
13,683.213,0.90568,0.93258,1.42399,0.85793,0.85409,0.91291,0.53505,1.31461,0.93383,1.62287,0.0018812,0.0018812,0.0018812
14,735.601,0.87639,0.8813,1.40287,0.89331,0.86477,0.91459,0.56065,1.29864,0.8324,1.62361,0.0018713,0.0018713,0.0018713
15,787.172,0.86264,0.8765,1.39285,0.88599,0.88497,0.91407,0.5582,1.26494,0.85571,1.60773,0.0018614,0.0018614,0.0018614
16,837.913,0.83746,0.8469,1.36911,0.9451,0.86121,0.93229,0.58094,1.26449,0.79994,1.58625,0.0018515,0.0018515,0.0018515
17,891.251,0.84162,0.82849,1.38249,0.90541,0.88568,0.91844,0.57896,1.26536,0.76575,1.59591,0.0018416,0.0018416,0.0018416
18,942.701,0.833,0.84103,1.36782,0.91892,0.87189,0.93767,0.57921,1.24128,0.82069,1.56936,0.0018317,0.0018317,0.0018317
19,996.365,0.82868,0.83008,1.37435,0.89647,0.88612,0.91557,0.58413,1.24211,0.75934,1.54951,0.0018218,0.0018218,0.0018218
20,1048,0.80883,0.80655,1.35258,0.89311,0.89201,0.92383,0.56683,1.27137,0.81679,1.5961,0.0018119,0.0018119,0.0018119
21,1098.53,0.79635,0.80236,1.34894,0.9052,0.90747,0.94233,0.57749,1.28298,0.80348,1.63063,0.001802,0.001802,0.001802
22,1151.77,0.8181,0.82676,1.37421,0.91102,0.86833,0.92443,0.57788,1.23765,0.76501,1.5913,0.0017921,0.0017921,0.0017921
23,1203.32,0.78175,0.78138,1.33752,0.84066,0.93238,0.91466,0.57524,1.23717,0.74411,1.57273,0.0017822,0.0017822,0.0017822
24,1256.48,0.79327,0.80442,1.34641,0.86798,0.88908,0.92464,0.58275,1.26533,0.83544,1.6095,0.0017723,0.0017723,0.0017723
25,1308.94,0.79915,0.78922,1.35197,0.87614,0.88968,0.92582,0.58751,1.22982,0.80014,1.60041,0.0017624,0.0017624,0.0017624
26,1362.22,0.79046,0.78257,1.34278,0.91588,0.88612,0.93559,0.57988,1.26464,0.81236,1.5747,0.0017525,0.0017525,0.0017525
27,1413.59,0.76693,0.76059,1.31905,0.90166,0.88968,0.9103,0.55353,1.25286,0.77845,1.59632,0.0017426,0.0017426,0.0017426
28,1465.54,0.76935,0.76912,1.32635,0.90205,0.90036,0.90661,0.5596,1.24329,0.76586,1.5989,0.0017327,0.0017327,0.0017327
29,1518.06,0.7747,0.7596,1.32545,0.91207,0.88968,0.9311,0.57072,1.27344,0.78051,1.63653,0.0017228,0.0017228,0.0017228
30,1568.72,0.75244,0.73958,1.31145,0.91733,0.85765,0.9384,0.59187,1.23518,0.76553,1.56298,0.0017129,0.0017129,0.0017129
31,1621.02,0.74242,0.74211,1.30082,0.90365,0.8968,0.92069,0.589,1.21271,0.75394,1.55775,0.001703,0.001703,0.001703
32,1671.31,0.75013,0.75205,1.30974,0.92083,0.86917,0.94179,0.59452,1.19354,0.76892,1.54625,0.0016931,0.0016931,0.0016931
33,1723.87,0.73355,0.71994,1.29677,0.90311,0.89557,0.92214,0.5701,1.26027,0.74176,1.61636,0.0016832,0.0016832,0.0016832
34,1776.29,0.73389,0.71659,1.29586,0.91086,0.90906,0.93451,0.59305,1.28847,0.72798,1.67133,0.0016733,0.0016733,0.0016733
35,1828.31,0.72536,0.71641,1.28985,0.91541,0.89324,0.92833,0.59127,1.25523,0.75568,1.6288,0.0016634,0.0016634,0.0016634
36,1881.3,0.71937,0.70594,1.2842,0.87345,0.90883,0.90249,0.57278,1.22135,0.76225,1.61233,0.0016535,0.0016535,0.0016535
37,1931.97,0.72347,0.72059,1.29024,0.90433,0.87458,0.91653,0.56927,1.28486,0.7518,1.67245,0.0016436,0.0016436,0.0016436
38,1982.49,0.71197,0.71222,1.28189,0.91403,0.88968,0.93127,0.60272,1.23256,0.73705,1.58795,0.0016337,0.0016337,0.0016337
39,2033.73,0.71498,0.70696,1.28408,0.88232,0.88055,0.89532,0.55463,1.22663,0.78069,1.61848,0.0016238,0.0016238,0.0016238
40,2083.86,0.71079,0.70176,1.28098,0.9186,0.88256,0.92968,0.58876,1.23913,0.72211,1.61936,0.0016139,0.0016139,0.0016139
41,2133.01,0.70142,0.68948,1.26992,0.91109,0.91103,0.91121,0.55609,1.3059,0.72037,1.71576,0.001604,0.001604,0.001604
42,2183.26,0.70858,0.68607,1.2843,0.8822,0.90613,0.91075,0.58008,1.25674,0.76798,1.62254,0.0015941,0.0015941,0.0015941
43,2232.97,0.67974,0.66429,1.24742,0.93988,0.86833,0.93545,0.59034,1.19857,0.71642,1.57161,0.0015842,0.0015842,0.0015842
44,2283.31,0.69922,0.68816,1.26859,0.92787,0.86982,0.92078,0.58488,1.23071,0.72906,1.60706,0.0015743,0.0015743,0.0015743
45,2335,0.70626,0.68217,1.2772,0.86957,0.91815,0.91636,0.57448,1.25353,0.74212,1.61522,0.0015644,0.0015644,0.0015644
46,2386.14,0.68947,0.68122,1.25626,0.91571,0.88612,0.92397,0.58121,1.26589,0.7456,1.64038,0.0015545,0.0015545,0.0015545
47,2435.88,0.68288,0.67427,1.2651,0.90378,0.90391,0.93251,0.60545,1.23142,0.70994,1.64471,0.0015446,0.0015446,0.0015446
48,2487.13,0.68096,0.66273,1.25529,0.90348,0.88256,0.91273,0.566,1.30454,0.76949,1.71899,0.0015347,0.0015347,0.0015347
49,2538.78,0.67993,0.66856,1.25601,0.93047,0.90036,0.93155,0.58958,1.26009,0.74559,1.66416,0.0015248,0.0015248,0.0015248
50,2587.06,0.67225,0.66899,1.2535,0.90323,0.87189,0.92307,0.59231,1.23253,0.73326,1.6431,0.0015149,0.0015149,0.0015149
51,2636.99,0.66742,0.66127,1.25048,0.91406,0.90848,0.93648,0.62915,1.13488,0.68945,1.52843,0.001505,0.001505,0.001505
52,2687.64,0.65828,0.64518,1.24015,0.94455,0.88968,0.9338,0.62212,1.17756,0.68981,1.54265,0.0014951,0.0014951,0.0014951
53,2738.31,0.65504,0.64685,1.24183,0.92467,0.90747,0.93979,0.60158,1.21609,0.7039,1.58836,0.0014852,0.0014852,0.0014852
54,2787.91,0.67044,0.65708,1.25106,0.90236,0.89324,0.92805,0.5933,1.18523,0.69853,1.57349,0.0014753,0.0014753,0.0014753
55,2839.26,0.65637,0.64917,1.24311,0.91891,0.90747,0.94128,0.60946,1.19696,0.68807,1.55527,0.0014654,0.0014654,0.0014654
56,2890.08,0.67367,0.65335,1.25205,0.87651,0.91815,0.93196,0.59697,1.18265,0.73518,1.55776,0.0014555,0.0014555,0.0014555
57,2939.56,0.65689,0.64344,1.24011,0.91011,0.86833,0.92392,0.59647,1.21705,0.71702,1.61226,0.0014456,0.0014456,0.0014456
58,2988.19,0.65399,0.63848,1.24207,0.91974,0.89721,0.93851,0.59746,1.24284,0.70437,1.63528,0.0014357,0.0014357,0.0014357
59,3039.57,0.641,0.62096,1.22249,0.94047,0.88256,0.92949,0.59594,1.19629,0.71545,1.60954,0.0014258,0.0014258,0.0014258
60,3090.43,0.62678,0.62442,1.21603,0.93998,0.89175,0.94385,0.61047,1.18245,0.68734,1.59546,0.0014159,0.0014159,0.0014159
61,3139.66,0.63433,0.62234,1.22883,0.9261,0.8919,0.91533,0.5901,1.20468,0.70588,1.62279,0.001406,0.001406,0.001406
62,3190.64,0.64108,0.64017,1.23159,0.90527,0.91825,0.92415,0.59211,1.21453,0.69391,1.63294,0.0013961,0.0013961,0.0013961
63,3241.09,0.6329,0.61837,1.22494,0.90079,0.90391,0.92849,0.59702,1.19612,0.72058,1.596,0.0013862,0.0013862,0.0013862
64,3291.79,0.63318,0.62349,1.22569,0.92956,0.90036,0.91841,0.58684,1.20487,0.71174,1.6084,0.0013763,0.0013763,0.0013763
65,3340.34,0.61676,0.60234,1.20674,0.90479,0.8968,0.93511,0.59956,1.18812,0.67351,1.60973,0.0013664,0.0013664,0.0013664
66,3390.7,0.62155,0.60985,1.21272,0.93333,0.90036,0.93558,0.6104,1.18355,0.66586,1.58844,0.0013565,0.0013565,0.0013565
67,3440.93,0.64055,0.6354,1.23364,0.8953,0.89324,0.91046,0.59085,1.19666,0.71485,1.61431,0.0013466,0.0013466,0.0013466
