epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.822,1.91384,3.58555,1.32729,0.52977,0.53905,0.51024,0.22445,1.3725,35.0336,0.94383,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222
2,410.971,1.73831,2.0769,1.28483,0.43706,0.58889,0.49687,0.21588,1.41802,32.4778,0.99469,0.0198678,0.00662261,0.0198678,0.00662261,0.0198678,0.00662261,0.0198678,0.00662261
3,185.737,1.75146,1.73068,1.3355,0.46108,0.55962,0.46589,0.18474,1.42184,50.8681,1.04882,0.02967,0.00989,0.02967,0.00989,0.02967,0.00989,0.02967,0.00989
4,367.527,1.75347,1.5912,1.35912,0.57813,0.5448,0.55872,0.23138,1.4427,19.0903,1.02798,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,548.873,1.71484,1.48507,1.34071,0.61863,0.58397,0.56796,0.25752,1.36946,11.6018,1.00096,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,728.112,1.6619,1.39306,1.32054,0.54262,0.51327,0.5078,0.21862,1.3447,25.4081,0.96729,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,912.161,1.6372,1.35511,1.29777,0.61623,0.66041,0.69601,0.3222,1.32897,13.8661,0.98074,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1094.36,1.616,1.3344,1.28189,0.60439,0.56613,0.61417,0.26841,1.43042,11.6901,1.0157,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,181.992,1.59368,1.29159,1.28493,0.725,0.67588,0.72656,0.33774,1.30714,17.0492,0.97186,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,363.247,1.57021,1.264,1.25959,0.68078,0.67912,0.6694,0.3045,1.39234,14.642,1.00976,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,549.86,1.55585,1.25196,1.24568,0.63491,0.68321,0.6707,0.30957,1.34061,10.6354,0.97129,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,728.297,1.52878,1.19993,1.23598,0.67117,0.67517,0.69589,0.28784,1.36569,17.0011,0.99,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,908.476,1.52225,1.20235,1.23001,0.68393,0.68756,0.71845,0.32102,1.32626,18.22,0.97401,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
